Date,Open,High,Low,Close,Adj Close,Volume
"May 22, 2024","9,475.00","9,575.00","9,325.00","9,425.00","9,098.28","121,712,700"
"May 21, 2024","9,450.00","9,575.00","9,375.00","9,375.00","9,050.01","75,311,400"
"May 20, 2024","9,700.00","9,800.00","9,475.00","9,475.00","9,146.54","87,890,100"
"May 17, 2024","9,600.00","9,850.00","9,575.00","9,750.00","9,412.01","99,848,500"
"May 16, 2024","9,575.00","9,675.00","9,525.00","9,600.00","9,267.21","61,126,000"
"May 15, 2024","9,500.00","9,600.00","9,425.00","9,500.00","9,170.68","54,741,900"
"May 14, 2024","9,625.00","9,675.00","9,525.00","9,550.00","9,218.95","95,363,500"
"May 13, 2024","9,200.00","9,525.00","9,200.00","9,525.00","9,194.81","145,469,900"
"May 8, 2024","9,600.00","9,700.00","9,375.00","9,375.00","9,050.01","112,808,900"
"May 7, 2024","9,700.00","9,750.00","9,625.00","9,700.00","9,363.75","66,746,800"
